s,n
300534,6.97
300535,15.73
300536,13.92
300537,22.1
300538,25.12
300539,8.93
300540,21.05
300541,21.4
300542,17.64
300543,15.2
300545,30.59
300546,20.59
300547,11.68
300548,39.32
300549,30.4
300550,20.58
300551,28.61
300552,39.3
300553,37.74
300554,23.69
300555,11.84
300556,21.94
300557,32.19
300558,98.05
300559,15.85
300560,19.44
300561,19.36
300562,20.64
300563,31.54
300564,28.79
300565,16.66
300566,34.56
300567,50.91
300568,24.39
300569,16.76
300570,19.33
300571,40
300572,44.69
300573,119.37
300575,39.18
300576,56.15
300577,30.91
300578,44.91
300579,44.29
300580,22.85
300581,46.18
300582,22.27
300583,28.43
300584,24.83
300585,15.57
300586,11.95
300587,14.63
300588,11.43
300589,37.46
300590,30.54
300591,8.15
300592,20.5
300593,21.9
300594,27.43
300595,71.51
300596,43.6
300597,12.64
300598,121.96
300599,12.7
300600,23.29
300601,156.9
300602,21.9
300603,13.16
300604,25
300605,15.06
300606,23.79
300607,35.7
300608,16.29
300609,27.7
300610,18.41
300611,11.93
300612,25.05
300613,140.35
300615,15.71
300616,71.96
300617,46.34
300618,69.01
300619,26.84
300620,47.25
300621,11.05
300622,16.68
300623,54.55
300624,58.7
300625,17.93
300626,12.09
300627,23.37
300628,73.8
300629,24.99
300630,43.31
300631,19.51
300632,22.12
300633,24.37
300634,24.21
300635,25.34
300636,27.86
300637,9.62
300638,58.55
300639,37.03
300640,8.69
300641,6.07
300642,53.49
300643,14.4
300644,39.92
300645,15.96
300647,12.28
300648,30
300649,17.77
300650,22.74
300651,45.77
300652,22.52
300653,64.15
300654,10.56
300655,36.02
300656,35.64
300657,17.8
300658,27.01
300659,47.19
300660,19.78
300661,295.05
300662,52.98
300663,25.12
300664,9.19
300665,12.88
300666,53.99
300667,28.2
300668,17.68
300669,36.77
300670,9.74
300671,46.2
300672,51.47
300673,35.06
300674,37.2
300675,20.45
300676,131.5
300677,130.18
300678,25.49
300679,37.41
300680,28.61
300681,43.55
300682,15
300683,47.44
300684,26.72
300685,75.88
300686,22.9
300687,24.66
300688,24.27
300689,49.81
300690,58.3
300691,15.28
300692,14.82
300693,25.7
300694,12.67
300695,65.09
300696,52.89
300697,17.24
300698,18.97
300699,79.25
300700,21.26
300701,34.26
300702,100.64
300703,11.82
300705,23.95
300706,30.8
300707,19.3
300708,31.4
300709,60.93
300710,37.8
300711,22.13
300712,18.49
300713,28.92
300715,42.91
300716,10.89
300717,24.46
300718,21.69
300719,21.76
300720,30.2
300721,33.84
300722,70.25
300723,42.4
300724,121.5
300725,121.98
300726,51.76
300727,39.75
300729,48.51
300730,15.24
300731,24.37
300732,15.24
300733,23.21
300735,15.11
300736,11.4
300737,21.14
300738,41.47
300739,22.85
300740,15.94
300741,61.56
300742,32.03
300743,18.57
300745,23.16
300746,14.37
300747,79.13
300748,40.81
300749,11.17
300750,249.72
300751,501.23
300752,39.39
300753,28.11
300755,29.05
300756,25.22
300757,39.98
300758,26.12
300759,100.73
300760,350
300761,38.07
300762,44.21
300763,105.63
300765,22.09
300766,27.15
300767,70.5
300768,39.93
300769,161.88
300770,79.19
300771,33.38
300772,14.68
300773,33.55
300775,33.35
300776,125.81
300777,46.91
300778,30.9
300779,21.08
300780,20.22
300781,42.8
300782,511.93
300783,52.95
300785,101.42
300786,27.53
300787,44.26
300788,46.65
300789,62.29
300790,21.48
300791,91.4
300792,118.29
300793,20.6
300795,24.6
300796,23.7
300797,19.08
300798,15.31
300799,59.14
300800,32.16
300801,23.5
300802,35.65
300803,32.49
300805,23.6
300806,48.83
300807,56.21
300808,20.27
300809,24.81
300810,47.81
300811,75.9
300812,50.1
300813,60.85
300815,94.83
300816,100.56
300817,33.93
300818,38.77
300819,50.26
300820,54.9
300821,14.01
300822,55.2
300823,39.08
300824,30.67
300825,28.44
300826,37.2
300827,56.28
300828,35.41
300829,106.8
300830,15.18
300831,25.57
300832,151.36
300833,55.96
300835,63.31
300836,58.65
300837,59
300838,23.38
300839,30.71
300840,21.45
300841,488.16
300842,64.58
300843,35.86
300845,40.19
300846,26.37
300847,27.8
300848,59.88
300849,32.39
300850,132.9
300851,43.34
300852,104.05
300853,65.55
300855,44.7
300856,64.28
300857,36
300858,72.95
300859,25.1
300860,155.02
300861,46.55
300862,46.52
300863,135.49
300864,111.2
300865,46.34
300866,183.08
300867,39.07
300868,47.74
300869,146.9
300870,83.18
300871,48.95
300872,45.72
300873,49.08
300875,101.51
300876,46.25
300877,62.17
300878,63.4
300879,33.54
300880,42.93
300881,38.95
300882,32.95
300883,18.8
300884,58.41
300885,44.78
300886,64.57
300887,93.3
300888,150.45
300889,38
300890,59.3
300891,22.73
300892,83.5
300893,44.8
300895,63.51
300896,572.05
300897,51.69
300898,59.35
300899,58.62
300900,56.91
300901,27.91
300902,44.7
300903,56.15
300905,76.85
300906,51.55
300907,49.37
300908,108.5
300909,69.86
300910,87
300911,56
300915,117.27
300916,132.31
300999,70.97
000670,0
000760,0
000792,0
000995,0
002260,0
002359,0
002450,0
002710,0
002711,0
002720,0
003020,0
003022,0
003023,0
003025,0
003026,0
003027,0
300362,0
300646,0
300728,0
300912,0
300913,0
300917,0
300918,0
300919,0
688699,0
688688,0
688678,0
688668,0
688608,0
688590,0
688571,0
688510,0
688308,0
688136,0
605500,0
605376,0
605299,0
605186,0
605183,0
605151,0
603302,0
601206,0
600891,0
600701,0
600677,0
600614,0
600485,0
689009,67.06
688981,58.2
688788,240
688777,106.39
688600,20.56
688599,19.85
688598,121.12
688596,23
688595,79.2
688589,45.91
688588,31.2
688586,34.23
688585,15.19
688580,104.66
688579,18.15
688578,33.81
688577,52.9
688569,23.46
688568,55.91
688567,29.82
688566,30.28
688561,112.88
688559,25.8
688558,31.7
688557,56.91
688556,28.78
688555,45.88
688551,40.15
688550,101.59
688536,376.24
688529,45.38
688528,20.14
688526,44.41
688521,92.67
688520,54.15
688519,37.45
688518,17.88
688516,77.25
688513,53.96
688508,103.85
688505,21.59
688500,47.38
688488,28.72
688466,30.85
688418,33.93
688408,134.26
688399,187.11
688398,65.18
688396,70.11
688393,43.92
688390,164.31
688389,20.49
688388,59.39
688386,74.99
688379,29.23
688378,60.08
688377,23.74
688369,69.8
688368,204.13
688366,105.58
688365,33.43
688363,146.8
688360,38.15
688358,58.5
688357,68.69
688356,105.51
688339,235.98
688338,69.21
688336,26.9
688335,42.68
688333,130.1
688330,90.68
688321,44.73
688318,232.6
688313,27
688312,33.52
688311,92.03
688310,31.74
688309,38.65
688301,200.5
688300,53.69
688299,22.77
688298,143
688289,102.36
688288,41.2
688286,152.98
688278,39.95
688277,48.53
688268,66.87
688266,81.18
688258,63.35
688256,166.42
688233,45.94
688229,120.38
688228,56.74
688222,36.61
688221,23.06
688219,25.37
688218,23
688215,57.75
688208,74.8
688202,149.24
688200,319.19
688199,47.84
688198,85.01
688196,54.46
688189,49.26
688188,267.5
688186,36.78
688185,401.82
688181,62.91
688180,71.45
688179,65.43
688178,38.1
688177,37.34
688169,888
688168,75.04
688166,48.68
688165,14.74
688160,52.07
688159,36.2
688158,51.14
688157,94.47
688156,24.16
688155,75
688139,76.39
688138,25.76
688135,54.95
688133,114
688129,26.8
688128,18.86
688127,29.43
688126,35.71
688123,66.58
688122,58.98
688118,29.4
688116,41.09
688111,345
688108,15.9
688106,29.7
688101,19.34
688100,26.24
688099,69.83
688098,18.48
688096,23.15
688095,305.01
688093,28.11
688090,49.6
688089,49.91
688088,69.03
688086,49.18
688085,41.44
688081,36.95
688080,65.78
688078,34.89
688077,45.7
688069,79.86
688068,38.64
688066,41.43
688065,93.71
688060,112.86
688058,92.68
688057,36.13
688056,39.05
688055,10.13
688051,95
688050,175.95
688039,70.76
688037,98.26
688036,144.12
688033,17.11
688030,34.46
688029,184.5
688028,43.7
688027,265.8
688026,61.25
688025,48.17
688023,248.24
688022,34
688021,72.38
688020,92.46
688019,308.64
688018,153.02
688017,116.75
688016,235.01
688015,41.62
688013,36.94
688012,148.3
688011,53.27
688010,33.35
688009,6.15
688008,80.1
688007,22.66
688006,57.79
688005,33.31
688004,59.68
688003,32.38
688002,98
688001,42.02
605399,20.77
605388,19.72
605369,65.3
605366,14.31
605358,92.78
605338,43.6
605336,32.84
605333,17.74
605318,19.41
605288,129.58
605266,139.71
605258,42.08
605255,18.74
605222,23.96
605218,17.17
605199,28.03
605198,26.7
605188,11.91
605178,57.94
605177,48.2
605169,29.6
605168,209.2
605166,11.29
605158,12.63
605136,33.92
605128,30.33
605123,72.98
605118,18.35
605116,19.15
605111,208
605108,26.88
605100,50.15
605099,31.79
605088,20.89
605068,40.5
605066,15.06
605058,29.73
605050,12.54
605018,16.24
605009,189.39
605008,27.74
605007,27.04
605006,9.19
605003,35.13
605001,16.71
603999,6.16
603998,6.62
603997,8.59
603996,2.87
603995,28.65
603993,4.66
603992,16.9
603991,38.73
603990,45.38
603989,28.38
603988,13.81
603987,15.75
603986,216.5
603985,31
603983,59.12
603982,19.02
603980,6.98
603979,11.5
603978,19.94
603977,7.66
603976,83.79
603970,22.56
603969,4.29
603968,17.64
603967,14.53
603966,14.83
603963,8.78
603960,41.1
603959,12.09
603958,7.83
603956,17.49
603955,17.1
603950,24.38
603949,16.8
603948,21.58
603939,101.29
603938,23.97
603937,11.42
603936,14.99
603933,13.03
603931,50.05
603929,15.49
603928,13.12
603927,42.99
603926,13.14
603922,16.96
603920,31.13
603919,40.25
603918,11.76
603917,11.3
603916,25.42
603915,28.35
603912,17.25
603909,19.09
603908,27.57
603906,28.72
603903,12.29
603901,10.02
603900,9.39
603899,80.34
603898,17.62
603897,19.33
603896,48.05
603895,19.31
603893,77.77
603890,12.66
603889,5.2
603888,19.13
603887,20.54
603886,18.08
603885,11.97
603883,72.96
603882,94.9
603881,70.18
603880,12.39
603879,8.8
603878,8.26
603877,35.23
603876,14.54
603871,24.28
603869,10.33
603868,54.54
603867,26.63
603866,62.38
603863,11.6
603861,8.54
603860,26.24
603859,38.51
603858,25.13
603856,13.92
603855,16.64
603848,13.88
603843,4.3
603839,11.08
603838,8.45
603833,133.55
603829,11.36
603828,5.41
603826,41.91
603825,25.74
603823,15.08
603822,25.02
603819,12.33
603818,9.62
603817,6.18
603816,77.28
603815,12.9
603813,17.73
603811,21.65
603810,27.24
603809,21.38
603808,13.66
603806,70.14
603803,11.62
603801,37.71
603800,10.6
603799,53.64
603798,10.58
603797,8.63
603790,13.13
603789,13.25
603788,15.45
603787,36
603786,78.31
603779,6.25
603778,4.77
603777,14.85
603776,19.37
603773,30.73
603768,15.12
603767,8.27
603766,3.94
603758,8.9
603757,19.61
603755,70.83
603739,24.57
603738,25.14
603737,144.84
603733,23.08
603730,31.48
603729,16.3
603728,15.98
603727,17.73
603726,13.3
603725,7.97
603722,32.2
603721,14.76
603719,60.15
603718,14.69
603717,7.93
603716,17.49
603713,133.5
603712,37.97
603711,23.37
603709,25.09
603708,25.1
603707,38.76
603706,17.7
603703,12.3
603701,10.18
603700,28.42
603699,15.34
603698,11.5
603697,21.1
603696,12.69
603693,11.86
603690,35.99
603689,11.9
603688,21.87
603687,10.55
603686,18.99
603685,12.54
603683,14.37
603682,9.29
603681,21.08
603680,12.23
603679,23.72
603678,52.99
603677,12.73
603676,10.55
603669,9.39
603668,9.02
603667,8.47
603666,86.3
603665,26.67
603663,17.07
603662,28.47
603661,59.74
603660,8.39
603659,101.38
603658,151.31
603657,19.57
603656,15.79
603655,41.11
603650,36.43
603648,9.47
603639,20.88
603638,56.14
603637,8.82
603636,9.96
603633,11.02
603630,16.68
603629,34.04
603628,10.4
603626,14.17
603619,11.36
603618,5.94
603617,12.57
603616,6.29
603615,12.57
603613,92.82
603612,16.81
603611,16.78
603610,26.88
603609,13.2
603608,7.4
603607,14.99
603606,21.85
603605,166.05
603603,6.26
603602,13.33
603601,14.6
603600,15.65
603599,22.36
603598,12.88
603596,37.47
603595,23.57
603590,40.82
603589,63.69
603588,15.3
603587,19.78
603586,16.35
603585,17.89
603583,65
603580,13.08
603579,35.63
603578,23.05
603577,10.31
603569,8.69
603568,21.28
603567,11.84
603566,24.34
603565,23.42
603559,18.66
603558,9.73
603557,10.29
603556,15.16
603555,2.49
603551,15.91
603538,33.2
603536,21.22
603535,50.2
603533,38.46
603530,22.96
603528,10.6
603527,9.8
603520,70.58
603519,16
603518,6.05
603517,75.3
603516,34.37
603515,32.45
603508,29.06
603507,22.39
603506,22.68
603505,27
603501,217.64
603500,13.1
603499,9.61
603496,19.22
603489,177.8
603488,11.38
603486,67.46
603477,12.92
603466,25.02
603458,15.38
603456,32.86
603444,401.8
603439,26.65
603429,41.04
603421,10.68
603416,86.79
603408,18.55
603399,5.85
603398,11.83
603396,32.11
603393,25.57
603392,180.81
603390,11.76
603389,3.96
603388,7.57
603387,32.62
603386,16.91
603385,12.59
603383,37.92
603380,22.29
603379,19.2
603378,51.01
603377,19.87
603369,50.79
603368,23.78
603367,15.03
603366,5.01
603365,14.38
603363,13.86
603360,20.2
603359,18.62
603358,17.76
603357,10.23
603356,12.91
603355,32.91
603353,42.95
603351,24.35
603348,29.68
603345,172.4
603339,10.97
603338,104.99
603337,30.3
603336,13.03
603335,5.08
603333,6.64
603332,37.07
603331,10.58
603330,34.08
603329,14.14
603328,8.29
603327,25.14
603326,11.73
603323,5.22
603322,20.44
603321,8.15
603320,12.96
603319,43.7
603318,7.41
603317,67.34
603316,9.2
603315,12.1
603313,33.65
603311,13.36
603309,13.6
603308,25.15
603306,23.35
603305,35.63
603303,12.42
603301,58.94
603300,6.34
603299,7.03
603298,20.71
603297,37.78
603290,214.31
603289,8.97
603288,181.95
603286,19.09
603283,42.5
603279,21.54
603278,8.56
603277,14.39
603269,12.87
603268,17.58
603267,104.23
603266,12.5
603260,38.06
603259,110.97
603258,33.94
603256,10.59
603239,17.65
603238,33.87
603236,188.38
603233,86.5
603232,31.5
603229,37.52
603228,32.4
603227,4.7
603226,10.25
603225,12.33
603223,21.31
603222,41.8
603221,14.28
603220,16.18
603218,27.32
603217,29.13
603214,29.35
603212,34.6
603208,102.98
603203,34.3
603200,27.36
603199,21.49
603198,31.56
603197,32.2
603196,6.5
603195,189.15
603192,25.69
603189,20.49
603188,5.62
603187,52.61
603186,38.69
603185,105.51
603183,9.07
603181,19.76
603180,57.42
603179,29.56
603178,10.37
603177,8.69
603169,4.52
603168,7.84
603167,9.55
603166,7.07
603165,13.14
603161,19.37
603160,165.08
603159,12.88
603158,20.23
603157,1.82
603156,27.77
603155,38.62
603139,18.49
603138,17.1
603136,27.72
603133,13.03
603131,27.15
603129,144.53
603128,7.93
603127,96.36
603126,5.7
603123,8.8
603121,13.85
603118,12.12
603117,3.82
603116,6.78
603115,17.55
603113,14.65
603112,13.2
603111,6.27
603110,19.6
603109,29.24
603108,12.38
603106,8.01
603105,9.38
603103,17.25
603101,5.23
603100,12.02
603099,8.55
603098,9.71
603096,53
603095,27.12
603093,21.51
603090,17.11
603089,13.5
603088,8.36
603087,110.98
603086,17.69
603085,10.61
603083,15.87
603081,12.11
603080,14.26
603079,25.21
603078,39.22
603077,1.45
603076,44.02
603069,19.37
603068,79.08
603067,7.07
603066,9.17
603063,16.13
603060,19.9
603059,26.47
603058,8.68
603056,13.76
603055,7.25
603053,14.88
603050,14.23
603045,13.69
603043,38.65
603042,16.45
603041,17.12
603040,33.22
603039,93.65
603038,10.58
603037,17.24
603036,9.29
603035,14.55
603033,20.89
603032,15
603031,25.54
603030,5.46
603029,15.3
603028,11.63
603027,38.07
603026,44.88
603025,8.69
603023,4.88
603022,14.81
603021,6.79
603020,10.38
603019,36.06
603018,11.75
603017,10.96
603016,24.7
603015,6.97
603013,16.58
603012,7.25
603011,6.08
603010,24.23
603009,7.02
603008,17.2
603007,6.75
603006,10.3
603005,70.41
603003,8.11
603002,6.28
603001,7.78
603000,17.19
601999,6.59
601998,5.27
601997,8.39
601996,2.96
601995,63.7
601992,3.11
601991,2.34
601990,13.15
601989,4.32
601988,3.28
601985,4.83
601975,2.62
601969,6.58
601968,7.87
601966,34.58
601965,15.81
601958,6.19
601952,12.52
601949,6.34
601939,7.14
601933,7.86
601929,2.1
601928,6.96
601919,9.78
601918,2.84
601916,4.19
601908,6.68
601901,9.2
601900,9.37
601899,9.13
601898,4.4
601890,5.87
601888,196.43
601886,6.2
601882,12.31
601881,13.15
601880,2.04
601878,16.28
601877,33.29
601872,5.98
601869,28.7
601866,3.04
601865,31.88
601860,4.45
601858,10.3
601857,4.29
601838,11.53
601828,9.25
601827,8.92
601818,4.31
601816,5.91
601811,10.28
601808,13.85
601801,5.26
601800,7.79
601799,195
601798,8.36
601789,4.28
601788,19.43
601778,6.9
601777,5.23
601766,5.63
601727,5.31
601718,3.22
601717,9.68
601702,8.26
601700,4.65
601699,6.52
601698,20
601696,26.32
601689,35.88
601688,19.43
601686,18.52
601678,5.4
601677,13.23
601669,4.13
601668,5.3
601666,5.81
601658,5
601636,11.54
601633,25.39
601628,41.71
601619,3.16
601618,2.75
601616,3.28
601615,17.11
601611,7.82
601609,11.86
601608,3.83
601607,20.29
601606,12.77
601601,38.79
601600,3.99
601599,3.05
601598,5
601595,12.47
601588,2.47
601579,10.27
601577,10.15
601568,10.69
601567,7.13
601566,12.18
601555,10.29
601519,10.46
601518,2.41
601515,6.25
601512,10.78
601500,6.67
601456,21
601399,4.05
601398,5.31
601390,5.65
601388,3.03
601377,8.95
601375,5.6
601369,7.04
601368,5.73
601366,6.73
601360,17.33
601339,4.19
601336,63.35
601333,2.38
601330,9.79
601328,4.7
601326,2.79
601319,7.05
601318,92.19
601311,9.08
601298,6.09
601288,3.27
601258,1.09
601238,13.29
601236,17.33
601233,19.66
601231,22.36
601229,8.14
601228,3.49
601226,4.15
601225,10.11
601222,7.33
601218,3.47
601216,5.29
601212,3.01
601211,18.89
601208,10.98
601200,11.98
601199,4.12
601198,13.26
601188,2.86
601187,12.86
601186,8.56
601179,4.51
601177,8.54
601169,5.02
601168,13.7
601166,21.12
601163,17.44
601162,6.38
601158,5.36
601155,35.89
601139,7.82
601138,13.84
601137,12.35
601128,7.6
601127,18.62
601126,7.58
601118,5.27
601117,6.29
601116,13.01
601113,3.39
601111,8.1
601108,13.47
601107,3.4
601106,3.06
601101,4.2
601100,99.02
601099,4.06
601098,10.74
601088,18.89
601086,4.76
601077,4.71
601069,14.15
601068,3.87
601066,44.03
601058,5.72
601038,11.3
601028,12.12
601021,51.4
601020,10.5
601019,6.18
601018,3.95
601016,2.81
601015,3.46
601012,69.24
601011,3.81
601010,3.17
601009,8.52
601008,4.12
601007,8.32
601006,6.85
601005,1.57
601003,5.06
601002,5.27
601001,5.87
601000,2.65
600999,23.84
600998,17.9
600997,5.57
600996,6.31
600995,8.14
600993,21.39
600992,6.87
600990,43.07
600989,12.94
600988,17.21
600987,5.67
600986,4.74
600985,11.21
600984,15.41
600983,6.98
600982,3.19
600981,3.28
600980,14.88
600979,3.43
600978,1.1
600977,13.32
600976,27.59
600975,8.55
600973,4.52
600971,5.5
600970,7.51
600969,6.67
600968,2.54
600967,10.13
600966,13.87
600965,6.02
600963,4.4
600962,8.08
600961,7.8
600960,4.03
600959,3.65
600958,11.77
600956,9.08
600939,3.9
600936,3.68
600933,16.1
600929,6.18
600928,5.85
600926,14.63
600919,6.25
600918,16.57
600917,7.18
600909,8.39
600908,6.06
600903,12.51
600901,5.9
600900,20.12
600898,6.17
600897,18.11
600896,4.28
600895,18.23
600894,8.66
600893,48
600892,3.19
600890,6.54
600889,7.12
600888,6.58
600887,39.79
600886,9.33
600885,49.98
600884,14.08
600883,8.53
600882,39.17
600881,3.25
600880,4
600879,6.8
600877,5.91
600876,15.5
600875,10.58
600874,6.84
600873,5.27
600872,68.35
600871,2.21
600870,2.75
600869,3.9
600868,3.17
600867,13.7
600866,4.8
600865,7.8
600864,7.1
600863,2.6
600862,25.5
600861,19.86
600860,3.97
600859,34.14
600858,7.36
600857,8.99
600856,1.41
600855,14.67
600854,4.08
600853,2.81
600851,7.63
600850,24.3
600848,21.77
600847,10.45
600846,8.47
600845,61.77
600844,4.3
600843,6.59
600841,9.47
600839,2.96
600838,7.56
600837,13.44
600836,5.1
600835,20.25
600834,9.72
600833,10.9
600831,7.36
600830,5.9
600829,7.25
600828,3.99
600827,13.43
600826,9.74
600825,5.16
600824,3.95
600823,5.64
600822,10.78
600821,4.69
600820,5.78
600819,4.93
600818,9.98
600817,15.99
600816,1.52
600815,2.51
600814,6.23
600812,10.69
600811,3.99
600810,10.1
600809,262.94
600808,2.77
600807,3.71
600805,4.53
600804,7.85
600803,14.4
600802,8.93
600801,24.35
600800,5.38
600798,3.66
600797,8.39
600796,5.22
600795,2.16
600794,3.41
600793,9.66
600792,3.55
600791,4.22
600790,3.31
600789,9.12
600787,4.77
600785,13.92
600784,5.5
600783,16.64
600782,4.63
600781,3.63
600780,3.4
600779,71.1
600778,4.55
600777,1.72
600776,13.21
600775,7.51
600774,13.11
600773,6.17
600771,14.41
600770,5.87
600769,5.41
600768,9.94
600767,3.06
600766,6.93
600765,18.33
600764,34.5
600763,233.6
600761,16.11
600760,62.7
600759,2.08
600758,3.26
600757,5.69
600756,16.23
600755,7.14
600754,51.46
600753,17
600751,3.42
600750,11.37
600749,9.64
600748,5.35
600746,7.98
600745,110.62
600744,2.83
600743,2.27
600742,11.02
600741,30.43
600740,6.01
600739,22.94
600738,7.44
600737,8.99
600736,5.01
600735,5.78
600734,1.59
600733,9.18
600732,16.16
600731,12.47
600730,5.02
600729,29.9
600728,9.06
600727,7.59
600726,2.39
600725,1.87
600724,3.9
600723,10.16
600722,4.21
600721,4.22
600720,15.25
600719,3.96
600718,11.33
600717,4.83
600716,4.13
600715,2.67
600714,5.81
600713,4.65
600712,5.15
600711,6.21
600710,5.69
600708,2.74
600707,7.74
600706,7.86
600705,4.62
600704,4.58
600703,29.01
600702,61.32
600699,25.08
600698,2.27
600697,14.45
600696,8.92
600695,7.49
600694,22.43
600693,4.53
600692,6.75
600691,2.32
600690,27.22
600689,7.72
600688,3.6
600687,0.81
600686,7.95
600685,25.67
600684,3.34
600683,4.41
600682,10.98
600681,5.24
600679,14.38
600678,6.76
600676,5.08
600675,3.77
600674,10.36
600673,5.56
600671,8.74
600668,14.97
600667,11.11
600666,1.38
600665,3.52
600664,3.33
600663,11.55
600662,8.92
600661,15.01
600660,39.07
600658,5.97
600657,4.46
600655,9.09
600654,1.82
600653,1.91
600652,2.23
600651,3.57
600650,9.15
600649,5.62
600648,14.54
600647,13.8
600645,22.1
600644,5.37
600643,8.51
600642,5.52
600641,18.18
600640,15.28
600639,12.8
600638,6.53
600637,9.64
600636,13.5
600635,4.32
600634,0.82
600633,9.19
600630,6.35
600629,8.21
600628,8.91
600626,4.24
600624,8.81
600623,6.41
600622,3.82
600621,19.64
600620,7.17
600619,7.42
600618,7.81
600617,4.5
600616,6.59
600615,8.13
600613,5.29
600612,48.4
600611,3.68
600610,4.73
600609,5.95
600608,4.23
600606,6.48
600605,12.5
600604,7.37
600603,5
600602,6.33
600601,4.48
600600,96.23
600599,5.45
600598,17.45
600597,15.56
600596,13.67
600595,2.6
600594,5.89
600593,27.59
600592,10.83
600590,5.81
600589,3.79
600588,44.11
600587,15.46
600586,4.94
600585,55.87
600584,44.44
600583,4.66
600582,3.26
600581,3.76
600580,14.3
600579,5.84
600578,3.02
600577,3.41
600576,3.8
600575,2.24
600573,9.7
600572,5.27
600571,8.83
600570,94.3
600569,2.27
600568,1.6
600567,3.25
600566,22.14
600565,2.96
600563,88.1
600562,16.95
600561,5.03
600560,9.88
600559,19.47
600558,3.18
600557,12.3
600556,14.03
600555,1.74
600552,6.8
600551,8.15
600550,4.81
600549,15.19
600548,9.06
600547,24.36
600546,7.68
600545,4.33
600543,9.64
600540,5.18
600539,7.11
600538,5.88
600537,3.86
600536,78.62
600535,16.73
600533,3.39
600532,13.16
600531,5.73
600530,2.94
600529,48.51
600528,9.45
600527,2.83
600526,5.01
600525,6.8
600523,17.45
600522,10.82
600521,34.78
600520,8.03
600519,1793.11
600518,3
600517,6.32
600516,6.65
600515,7.02
600513,10.5
600512,3.07
600511,50.1
600510,7.81
600509,3.93
600508,9.5
600507,7.15
600506,10.29
600505,7.18
600503,3.98
600502,4.03
600501,10.28
600500,5.43
600499,5.53
600498,24.98
600497,4.76
600496,5.45
600495,4.14
600493,5.5
600491,6
600490,4.2
600489,9.59
600488,5.14
600487,14.86
600486,121.5
600483,7.91
600482,17.48
600481,3.89
600480,9.21
600479,9.16
600478,4.49
600477,4.17
600476,12.08
600475,12.66
600470,4.17
600469,5.26
600468,4.75
600467,2.92
600466,5.09
600463,6.87
600462,2.29
600461,6.87
600460,20.41
600459,25.3
600458,7.82
600456,41.02
600455,23.3
600452,18.05
600449,14.88
600448,3.97
600446,18.26
600444,10.97
600439,2.96
600438,29.4
600436,229.85
600435,8.86
600433,4.53
600429,5.18
600428,4.52
600426,34.9
600425,4.04
600423,2.7
600422,9.61
600421,10.4
600420,10.43
600419,14.93
600418,10.53
600416,17.52
600415,5.52
600410,10.08
600409,9.08
600408,2.15
600406,22.54
600405,5.78
600403,3.99
600400,3.26
600399,11.61
600398,6.71
600397,3.52
600396,2.48
600395,7.26
600393,2.98
600392,9.36
600391,24.85
600390,7.39
600389,21.96
600388,10.24
600387,6.75
600386,3.84
600385,6.1
600383,14.59
600382,5.54
600381,5.53
600380,14.88
600379,5.7
600378,20.5
600377,9.6
600376,6.33
600375,7.79
600373,11.8
600372,17.88
600371,13.87
600370,3.29
600369,5.46
600368,3.7
600367,7.55
600366,6.73
600365,2.34
600363,25.65
600362,21.18
600361,4.45
600360,9.2
600359,8.18
600358,3.16
600356,8.75
600355,3.09
600354,4
600353,5.93
600352,14.57
600351,5.46
600350,6.93
600348,5.43
600346,25.69
600345,19.52
600343,9.41
600340,14.64
600339,3.09
600338,10.16
600337,4.97
600336,8.85
600335,6.42
600333,5.65
600332,31.3
600331,2.86
600330,9.9
600329,16.88
600328,6.85
600327,4.22
600326,7.79
600325,6.47
600323,24.16
600322,2.57
600321,2.21
600320,3.09
600319,4.62
600318,10.9
600317,2.74
600316,38.37
600315,39.15
600313,4.35
600312,6.81
600311,1.74
600310,4.04
600309,84.36
600308,5.37
600307,1.69
600306,4.88
600305,22.4
600303,4.78
600302,4.52
600301,6.39
600300,4.04
600299,12.66
600298,50.52
600297,3.39
600295,10.97
600293,2.61
600292,5.57
600291,5.95
600290,2.07
600289,4.05
600288,11.22
600287,6.1
600285,9.39
600284,6.38
600283,10.67
600282,3.27
600281,4.01
600280,2.55
600279,3.87
600278,9.78
600277,3.29
600276,91.32
600275,2.68
600273,10.27
600272,7.89
600271,14.06
600269,3.53
600268,7.33
600267,16.78
600266,5.65
600265,16.48
600262,18.41
600261,4.38
600260,11.91
600259,32.74
600258,24.9
600257,5
600256,3.04
600255,1.87
600252,3.22
600251,7.21
600250,5.99
600249,4.75
600248,4.18
600247,1.54
600246,7.92
600243,2.7
600242,2.87
600241,3.54
600239,2.88
600238,5.27
600237,5.05
600236,4.58
600235,5.39
600234,9.28
600233,13.49
600232,6
600231,2.37
600230,9.81
600229,7.1
600228,11.03
600227,2.94
600226,2.08
600225,1.66
600223,10.93
600222,5.56
600221,1.61
600220,2.91
600219,2.77
600218,10.29
600217,5.53
600216,14.49
600215,5.64
600213,9.47
600212,3.16
600211,69.42
600210,4.57
600209,5.12
600208,3.25
600207,5.79
600206,14.67
600203,10.55
600202,4.41
600201,24.25
600200,5.66
600199,10.12
600198,11.4
600197,23.32
600196,55.29
600195,13.94
600193,5.01
600192,5.13
600191,6.82
600190,3.06
600189,7.97
600188,11.14
600187,2.53
600186,2.84
600185,8.22
600184,11.81
600183,29.43
600182,16.65
600180,6.09
600179,5.42
