s,n
000950,5.58
000951,34.99
000952,8.34
000953,4.92
000955,7.25
000957,8.34
000958,4.59
000959,4.07
000960,10.79
000961,9.91
000962,8.49
000963,29.33
000965,3.26
000966,3.89
000967,9.22
000968,8.04
000969,6.9
000970,9.84
000971,2.37
000972,2.5
000973,4.99
000975,9.18
000976,5.89
000977,28.97
000978,4.87
000980,1.48
000981,2.52
000982,1.16
000983,5.64
000985,14.6
000987,16.78
000988,24.78
000989,8.77
000990,14.27
000993,6.37
000996,10.16
000997,15.71
000998,18
000999,27.15
001696,8.47
001872,16.17
001896,3.96
001914,24.64
001965,7.44
001979,14.11
002001,32.99
002002,3.94
002003,7.49
002004,5.55
002005,1.37
002006,5.13
002007,46.07
002008,39.48
002009,9.64
002010,5.4
002011,3.92
002012,5.97
002013,10.67
002014,10.56
002015,6.06
002016,6.92
002017,10.98
002019,22.43
002020,11.33
002021,2.07
002022,18.18
002023,14.99
002024,9.05
002025,53.01
002026,10.8
002027,10.28
002028,22.82
002029,5.46
002030,33.72
002031,2.14
002032,72.17
002033,6.46
002034,16.77
002035,9.64
002036,12.05
002037,7.71
002038,11.51
002039,15.94
002040,6.85
002041,17.85
002042,7.14
002043,9.31
002044,13.04
002045,8.76
002046,8.81
002047,4.31
002048,16.47
002049,108.47
002050,23.67
002051,7.54
002052,1.21
002053,7.76
002054,8.79
002055,14.75
002056,13.54
002057,7.72
002058,17.56
002059,4.93
002060,3.18
002061,5.57
002062,4.32
002063,8.3
002064,9.4
002065,9.45
002066,9.46
002067,3.66
002068,6.42
002069,4.3
002071,1.33
002072,4.42
002073,4.42
002074,28.66
002075,12.02
002076,1.84
002077,7.01
002078,15.38
002079,11.55
002080,19.29
002081,10.41
002082,13.54
002083,5.03
002084,8.49
002085,7.38
002086,2.01
002087,4.08
002088,12.26
002089,2.22
002090,9.02
002091,6.64
002092,6.22
002093,8.28
002094,3.98
002095,18.09
002096,14.18
002097,8.68
002098,6.1
002099,8.98
002100,13.49
002101,7.64
002102,1.84
002103,5.2
002104,8.36
002105,8.73
002106,12.43
002107,8.81
002108,4.83
002109,3.52
002110,7.05
002111,16.49
002112,9.11
002113,1.63
002114,7.2
002115,7.3
002116,7.2
002117,10.26
002118,4.06
002119,11.97
002120,18.07
002121,3.6
002122,2.28
002123,18.91
002124,15.72
002125,6.95
002126,12.17
002127,16.8
002128,11.29
002129,24.18
002130,5.53
002131,3.4
002132,3.4
002133,3.25
002134,9.66
002135,7.93
002136,10.95
002137,7.22
002138,27.19
002139,8.69
002140,7.46
002141,2.79
002142,36.87
002144,13.04
002145,6.08
002146,7.28
002147,1.34
002148,4.93
002149,11.76
002150,6.99
002151,56.29
002152,11.98
002153,34.95
002154,3.61
002155,8.68
002156,29.51
002157,19.01
002158,14.16
002159,13.01
002160,4.13
002161,6.51
002162,3.51
002163,21.05
002164,5.69
002165,5.81
002166,8.8
002167,5.84
002168,6.41
002169,7.39
002170,4.2
002171,9.43
002172,3.37
002173,7.18
002174,17.05
002175,1.3
002176,2.87
002177,5.2
002178,3.63
002179,61.38
002180,31.19
002181,4.96
002182,12.13
002183,4.95
002184,13.77
002185,15.98
002186,11.35
002187,9.08
002188,3.04
002189,17.62
002190,29
002191,10.61
002192,29.4
002193,7.46
002194,15.47
002195,2.55
002196,8.15
002197,8.86
002198,4.98
002199,7.96
002200,5.34
002201,14.24
002202,12.41
002203,8.51
002204,3.7
002205,8.56
002206,4.22
002207,7.34
002208,9.7
002209,7.78
002210,2.22
002211,7.05
002212,22.14
002213,16.48
002214,25.12
002215,6.17
002216,27.49
002217,4.63
002218,4.43
002219,1.93
002221,11.22
002222,15.08
002223,28.59
002224,6.37
002225,5.27
002226,7.49
002227,16.8
002228,4.45
002229,7.09
002230,38.71
002231,6.1
002232,12.51
002233,13.65
002234,17.32
002235,5.96
002236,21.46
002237,14.02
002238,6.53
002239,4.87
002240,16.6
002241,38.35
002242,33.8
002243,12.53
002244,5.23
002245,10.01
002246,7.63
002247,1.78
002248,6.84
002249,4.37
002250,24.4
002251,10.36
002252,8.41
002253,15.57
002254,16.72
002255,4.3
002256,1.24
002258,23.02
002259,3.29
002261,7.21
002262,19.15
002263,2.67
002264,5.14
